Event ID	Station	Type	Date	Exact Start Time	Exact End Time	Window Start Time (-15 min)	Window End Time (+ 15 min)	Window Start Date/Time (Local)	Window End Date/Time (Local)	Window Start Date/Time (UTC)	Window End Date/Time (UTC)	Survey	Sighting	IDs	Notes
VS_52	PSB	V_Sighting	6/26/2018	12:23:00 PM	12:32:00 PM	12:08:00 PM	12:47:00 PM	6/26/2018 12:08	6/26/2018 12:47	6/26/2018 16:08	6/26/2018 16:47	8582	26	F222, F246, FB33, C33A, F137, 1373, F138	
VS_53	PSB	V_Sighting	6/27/2018	11:15:00 AM	11:21:00 AM	11:00:00 AM	11:36:00 AM	6/27/2018 11:00	6/27/2018 11:36	6/27/2018 15:00	6/27/2018 15:36	8584	102	F146, F197, F291	land obs
VS_54	PSB	V_Sighting	7/1/2018	12:54:00 PM	2:03:00 PM	12:39:00 PM	2:18:00 PM	7/1/2018 12:39	7/1/2018 14:18	7/1/2018 16:39	7/1/2018 18:18	8586	101	F282, F250, F197, F291, F228, F222	land obs, 1973's code not changed to F291 yet on datasheet
VS_55	PSB	V_Sighting	7/1/2018	4:14:00 PM	4:28:00 PM	3:59:00 PM	4:43:00 PM	7/1/2018 15:59	7/1/2018 16:43	7/1/2018 19:59	7/1/2018 20:43	8586	102	F243	land obs
VS_56	PSB	V_Sighting	7/1/2018	4:33:00 PM	5:12:00 PM	4:18:00 PM	5:27:00 PM	7/1/2018 16:18	7/1/2018 17:27	7/1/2018 20:18	7/1/2018 21:27	8586	103	F272	land obs
VS_58	PSB	V_Sighting	7/3/2018	10:36:00 AM	11:11:00 AM	10:21:00 AM	11:26:00 AM	7/3/2018 10:21	7/3/2018 11:26	7/3/2018 14:21	7/3/2018 15:26	8593	102	F222	land obs
VS_57	PSB	V_Sighting	7/3/2018	11:05:00 AM	11:10:00 AM	10:50:00 AM	11:25:00 AM	7/3/2018 10:50	7/3/2018 11:25	7/3/2018 14:50	7/3/2018 15:25	8590	5	F222	
VS_59	PSB	V_Sighting	7/3/2018	1:30:00 PM	1:47:00 PM	1:15:00 PM	2:02:00 PM	7/3/2018 13:15	7/3/2018 14:02	7/3/2018 17:15	7/3/2018 18:02	8593	104	F256, F243, F238	land obs
VS_60	PSB	V_Sighting	7/5/2018	10:20:00 AM	10:34:00 AM	10:05:00 AM	10:49:00 AM	7/5/2018 10:05	7/5/2018 10:49	7/5/2018 14:05	7/5/2018 14:49	8595	2	F137, 1374, F222	
VS_61	PSB	V_Sighting	7/5/2018	10:41:00 AM	10:49:00 AM	10:26:00 AM	11:04:00 AM	7/5/2018 10:26	7/5/2018 11:04	7/5/2018 14:26	7/5/2018 15:04	8595	3	F238	
VS_62	PSB	V_Sighting	7/7/2018	10:12:00 AM	10:32:00 AM	9:57:00 AM	10:47:00 AM	7/7/2018 9:57	7/7/2018 10:47	7/7/2018 13:57	7/7/2018 14:47	8599	101	F266	land obs
VS_63	PSB	V_Sighting	7/7/2018	10:59:00 AM	11:13:00 AM	10:44:00 AM	11:28:00 AM	7/7/2018 10:44	7/7/2018 11:28	7/7/2018 14:44	7/7/2018 15:28	8599	102	F236, F209, F243	land obs
VS_64	PSB	V_Sighting	7/7/2018	12:05:00 PM	12:19:00 PM	11:50:00 AM	12:34:00 PM	7/7/2018 11:50	7/7/2018 12:34	7/7/2018 15:50	7/7/2018 16:34	8599	103	F286	land obs
VS_65	PSB	V_Sighting	7/7/2018	5:23:00 PM	5:33:00 PM	5:08:00 PM	5:48:00 PM	7/7/2018 17:08	7/7/2018 17:48	7/7/2018 21:08	7/7/2018 21:48	8599	104	F256, F238	land obs
VS_66	PSB	V_Sighting	7/7/2018	5:39:00 PM	5:42:00 PM	5:24:00 PM	5:57:00 PM	7/7/2018 17:24	7/7/2018 17:57	7/7/2018 21:24	7/7/2018 21:57	8599	105	F228, F146, F197, F291	land obs
VS_67	PSB	V_Sighting	7/15/2018	10:06:00 AM	10:35:00 AM	9:51:00 AM	10:50:00 AM	7/15/2018 9:51	7/15/2018 10:50	7/15/2018 13:51	7/15/2018 14:50	8602	101	1373, F243	land obs
VS_68	PSB	V_Sighting	7/15/2018	11:58:00 AM	12:45:00 PM	11:43:00 AM	1:00:00 PM	7/15/2018 11:43	7/15/2018 13:00	7/15/2018 15:43	7/15/2018 17:00	8602	102	F243, 1373, F256, F238, F125, 1255, 1254	land obs
VS_69	PSB	V_Sighting	7/15/2018	12:50:00 PM	12:58:00 PM	12:35:00 PM	1:13:00 PM	7/15/2018 12:35	7/15/2018 13:13	7/15/2018 16:35	7/15/2018 17:13	8602	103	F125	land obs
VS_70	PSB	V_Sighting	7/15/2018	4:13:00 PM	4:30:00 PM	3:58:00 PM	4:45:00 PM	7/15/2018 15:58	7/15/2018 16:45	7/15/2018 19:58	7/15/2018 20:45	8602	104	F243	land obs
VS_71	PSB	V_Sighting	7/15/2018	4:33:00 PM	4:41:00 PM	4:18:00 PM	4:56:00 PM	7/15/2018 16:18	7/15/2018 16:56	7/15/2018 20:18	7/15/2018 20:56	8602	105	F256	land obs
VS_72	PSB	V_Sighting	7/15/2018	5:04:00 PM	5:10:00 PM	4:49:00 PM	5:25:00 PM	7/15/2018 16:49	7/15/2018 17:25	7/15/2018 20:49	7/15/2018 21:25	8602	106	1253	land obs
VS_73	PSB	V_Sighting	7/18/2018	3:52:00 PM	4:10:00 PM	3:37:00 PM	4:25:00 PM	7/18/2018 15:37	7/18/2018 16:25	7/18/2018 19:37	7/18/2018 20:25	8604	101	F133, 1332, 1253	land obs
VS_74	PSB	V_Sighting	7/18/2018	4:33:00 PM	4:40:00 PM	4:18:00 PM	4:55:00 PM	7/18/2018 16:18	7/18/2018 16:55	7/18/2018 20:18	7/18/2018 20:55	8604	102	1253	land obs
VS_75	PSB	V_Sighting	8/2/2018	12:43:00 PM	12:53:00 PM	12:28:00 PM	1:08:00 PM	8/2/2018 12:28	8/2/2018 13:08	8/2/2018 16:28	8/2/2018 17:08	8607	8	1373, F243	
VS_76	PSB	V_Sighting	8/2/2018	12:55:00 PM	1:05:00 PM	12:40:00 PM	1:20:00 PM	8/2/2018 12:40	8/2/2018 13:20	8/2/2018 16:40	8/2/2018 17:20	8607	9	F243, F227, 2272	
VS_77	PSB	V_Sighting	10/1/2018	11:15:00 AM	11:20:00 AM	11:00:00 AM	11:35:00 AM	10/1/2018 11:00	10/1/2018 11:35	10/1/2018 15:00	10/1/2018 15:35	8638	25	F213, F308	
VS_78	PSB	V_Sighting	11/21/2018	1:27:00 PM	1:30:00 PM	1:12:00 PM	1:45:00 PM	11/21/2018 13:12	11/21/2018 13:45	11/21/2018 17:12	11/21/2018 17:45	8667	67	F298, F255, F135	
VS_79	PSB	V_Sighting	1/3/2019	10:06:00 AM	10:15:00 AM	9:51:00 AM	10:30:00 AM	1/3/2019 9:51	1/3/2019 10:30	1/3/2019 13:51	1/3/2019 14:30	8682	21	F274, F243	
VS_80	PSB	V_Sighting	1/8/2019	1:45:00 PM	1:57:00 PM	1:30:00 PM	2:12:00 PM	1/8/2019 13:30	1/8/2019 14:12	1/8/2019 17:30	1/8/2019 18:12	8689	49	F243	
VS_81	PSB	V_Sighting	2/11/2019	1:03:00 PM	1:08:00 PM	12:48:00 PM	1:23:00 PM	2/11/2019 12:48	2/11/2019 13:23	2/11/2019 16:48	2/11/2019 17:23	8705	7	F197, F291, F298	
VS_82	PSB	V_Sighting	2/22/2019	10:55:00 AM	11:11:00 AM	10:40:00 AM	11:26:00 AM	2/22/2019 10:40	2/22/2019 11:26	2/22/2019 14:40	2/22/2019 15:26	8707	1	F274, F290, F298	
VS_83	PSB	V_Sighting	3/1/2019	10:43:00 AM	10:54:00 AM	10:28:00 AM	11:09:00 AM	3/1/2019 10:28	3/1/2019 11:09	3/1/2019 14:28	3/1/2019 15:09	8710	44	F290	
VS_84	PSB	V_Sighting	3/23/2019	11:29:00 AM	11:57:00 AM	11:14:00 AM	12:12:00 PM	3/23/2019 11:14	3/23/2019 12:12	3/23/2019 15:14	3/23/2019 16:12	8725	3	F274, 1373	
VS_85	PSB	V_Sighting	3/25/2019	10:48:00 AM	10:54:00 AM	10:33:00 AM	11:09:00 AM	3/25/2019 10:33	3/25/2019 11:09	3/25/2019 14:33	3/25/2019 15:09	8726	3	F197	
VS_86	PSB	V_Sighting	3/26/2019	1:11:00 PM	1:15:00 PM	12:56:00 PM	1:30:00 PM	3/26/2019 12:56	3/26/2019 13:30	3/26/2019 16:56	3/26/2019 17:30	8728	2	F197	
VS_87	PSB	V_Sighting	3/31/2019	12:58:00 PM	12:59:00 PM	12:43:00 PM	1:14:00 PM	3/31/2019 12:43	3/31/2019 13:14	3/31/2019 16:43	3/31/2019 17:14	8734	64	F243	
VS_88	PSB	V_Sighting	4/11/2019	10:46:00 AM	11:01:00 AM	10:31:00 AM	11:16:00 AM	4/11/2019 10:31	4/11/2019 11:16	4/11/2019 14:31	4/11/2019 15:16	8744	47	F197, F243, 1373	
VS_89	PSB	V_Sighting	4/12/2019	10:22:00 AM	10:30:00 AM	10:07:00 AM	10:45:00 AM	4/12/2019 10:07	4/12/2019 10:45	4/12/2019 14:07	4/12/2019 14:45	8746	22	F243	
VS_90	PSB	V_Sighting	4/13/2019	10:40:00 AM	12:56:00 PM	10:25:00 AM	1:11:00 PM	4/13/2019 10:25	4/13/2019 13:11	4/13/2019 14:25	4/13/2019 17:11	8748	62	F306, 1373, F197, F209, 2092, F243, F291	1973's code not changed to F291 yet on datasheet
VS_91	PSB	V_Sighting	4/17/2019	1:43:00 PM	3:57:00 PM	1:28:00 PM	4:12:00 PM	4/17/2019 13:28	4/17/2019 16:12	4/17/2019 17:28	4/17/2019 20:12	8750	64	F197, F243, F250	
VS_92	PSB	V_Sighting	4/25/2019	1:11:00 PM	3:23:00 PM	12:56:00 PM	3:38:00 PM	4/25/2019 12:56	4/25/2019 15:38	4/25/2019 16:56	4/25/2019 19:38	8754	63	F283, 1373, F243, F197, F291, F306	1973's code not changed to F291 yet on datasheet, 1352's not changed to F283 yet either
VS_93	PSB	V_Sighting	5/5/2019	10:25:00 AM	10:54:00 AM	10:10:00 AM	11:09:00 AM	5/5/2019 10:10	5/5/2019 11:09	5/5/2019 14:10	5/5/2019 15:09	8756	62	F197, F243, F196	
VS_94	PSB	V_Sighting	5/5/2019	11:33:00 AM	11:48:00 AM	11:18:00 AM	12:03:00 PM	5/5/2019 11:18	5/5/2019 12:03	5/5/2019 15:18	5/5/2019 16:03	8756	64	F197, F243, 1374, F137	
VS_95	PSB	V_Sighting	5/5/2019	11:48:00 AM	12:21:00 PM	11:33:00 AM	12:36:00 PM	5/5/2019 11:33	5/5/2019 12:36	5/5/2019 15:33	5/5/2019 16:36	8756	65	F197, F243, 1374, F137, F164, F151	
DT_2	PSB	DTAG	5/6/2019	2:30:00 PM	2:40:00 PM	2:15:00 PM	2:55:00 PM	5/6/2019 14:15	5/6/2019 14:55	5/6/2019 18:15	5/6/2019 18:55	NA	NA	F283	F283 tagged alone - traveled by Palma Sola station from ~14:30-14:40 local time
VS_96	PSB	V_Sighting	5/7/2019	10:36:00 AM	10:47:00 AM	10:21:00 AM	11:02:00 AM	5/7/2019 10:21	5/7/2019 11:02	5/7/2019 14:21	5/7/2019 15:02	8757	4	F197, F243	
VS_97	PSB	V_Sighting	5/9/2019	9:54:00 AM	10:15:00 AM	9:39:00 AM	10:30:00 AM	5/9/2019 9:39	5/9/2019 10:30	5/9/2019 13:39	5/9/2019 14:30	8764	21	FB33, C33A, F197, F243, F235, F282, F259, F125, F128, F138	
VS_98	PSB	V_Sighting	5/15/2019	1:15:00 PM	1:23:00 PM	1:00:00 PM	1:38:00 PM	5/15/2019 13:00	5/15/2019 13:38	5/15/2019 17:00	5/15/2019 17:38	8767	63	F283, 1373, F291	1973's code not changed to F291 yet on datasheet, 1352's not changed to F283 yet either
VS_99	PSB	V_Sighting	5/21/2019	1:33:00 PM	2:31:00 PM	1:18:00 PM	2:46:00 PM	5/21/2019 13:18	5/21/2019 14:46	5/21/2019 17:18	5/21/2019 18:46	8772	64	F222, F137, 1373	
VS_100	PSB	V_Sighting	5/23/2019	11:24:00 AM	11:58:00 AM	11:09:00 AM	12:13:00 PM	5/23/2019 11:09	5/23/2019 12:13	5/23/2019 15:09	5/23/2019 16:13	8773	64	F222, F243, F197, 1974	
VS_101	PSB	V_Sighting	5/24/2019	12:31:00 PM	2:40:00 PM	12:16:00 PM	2:55:00 PM	5/24/2019 12:16	5/24/2019 14:55	5/24/2019 16:16	5/24/2019 18:55	8774	65	F238, F128, F125, F138, F283, 1373, F197, 1974, F261, 2614, F296, C655, F137, F229, F173	1352's code not changed to F283 yet on datasheet
VS_102	PSB	V_Sighting	6/5/2019	9:34:00 AM	9:37:00 AM	9:19:00 AM	9:52:00 AM	6/5/2019 9:19	6/5/2019 9:52	6/5/2019 13:19	6/5/2019 13:52	8783	4	F259, F125, FB92, F173, 1373	
VS_103	PSB	V_Sighting	6/6/2019	9:09:00 AM	9:11:00 AM	8:54:00 AM	9:26:00 AM	6/6/2019 8:54	6/6/2019 9:26	6/6/2019 12:54	6/6/2019 13:26	8786	7	F123, 1233, F173, 1373, F125, F249, FB92	
DT_3	Tarawitt	DTAG	6/6/2019	7:30:00 PM	7:44:00 PM	7:15:00 PM	7:59:00 PM	6/6/2019 19:15	6/6/2019 19:59	6/6/2019 23:15	6/6/2019 23:59	NA	NA	F266	F266 lost during follow and relocated ~19:44 local time about a km north of the Tarawitt station, likely passed by between ~19:30 and then but did not have visual obs during that time to know proximity
VS_104	PSB	V_Sighting	6/11/2019	10:59:00 AM	11:01:00 AM	10:44:00 AM	11:16:00 AM	6/11/2019 10:44	6/11/2019 11:16	6/11/2019 14:44	6/11/2019 15:16	8795	7	F151, F137, F222, F176, F283	
