Filename	Path	Whistle Date	Time numbers	Time (UTC)	Time (EST)	Date and time (EST)	Event ID	Survey #	Sighting #	Sighting Start Time (EST)	Sighting End Time (EST)	Dolphin IDs	Camera?	Notes (VS)
_2018-06-22T105225_sel.07.25.64.W_H_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\no matches yet\	6/22/2018	105225	10:52:25 AM	2:52:25 PM									
_2018-06-22T110003_sel.01.03.03.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110003	11:00:03 AM	3:00:03 PM									
_2018-06-22T110003_sel.01.03.03.W_H_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\no matches yet\	6/22/2018	110003	11:00:03 AM	3:00:03 PM									
_2018-06-22T110059_sel.02.59.20.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110059	11:00:59 AM	3:00:59 PM									
_2018-06-22T110059_sel.02.59.20.W_MW_S_LSS_verified(1).tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Sin\	6/22/2018	110059	11:00:59 AM	3:00:59 PM									
_2018-06-22T110059_sel.02.59.20.W_MW_S_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Sin\	6/22/2018	110059	11:00:59 AM	3:00:59 PM									
_2018-06-22T110110_sel.04.10.38.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110110	11:01:10 AM	3:01:10 PM									
_2018-06-22T110110_sel.04.10.38.W_S_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Sinusoidal_Verified\no matches yet\	6/22/2018	110110	11:01:10 AM	3:01:10 PM									
_2018-06-22T110251_sel.11.51.39.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110251	11:02:51 AM	3:02:51 PM									
_2018-06-22T110251_sel.11.51.39.W_U_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\U_Verified\Ladle\	6/22/2018	110251	11:02:51 AM	3:02:51 PM									
_2018-06-22T110801_sel.09.01.18.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110801	11:08:01 AM	3:08:01 PM									
_2018-06-22T110801_sel.09.01.18.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	110801	11:08:01 AM	3:08:01 PM									
_2018-06-22T110831_sel.11.31.06.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110831	11:08:31 AM	3:08:31 PM									
_2018-06-22T110831_sel.11.31.06.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	110831	11:08:31 AM	3:08:31 PM									
_2018-06-22T110842_sel.12.42.55.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	110842	11:08:42 AM	3:08:42 PM									
_2018-06-22T110842_sel.12.42.55.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	110842	11:08:42 AM	3:08:42 PM									
_2018-06-22T111250_sel.03.50.86.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111250	11:12:50 AM	3:12:50 PM									
_2018-06-22T111250_sel.03.50.86.W_H_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\no matches yet\	6/22/2018	111250	11:12:50 AM	3:12:50 PM									
_2018-06-22T111456_sel.06.56.69.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111456	11:14:56 AM	3:14:56 PM									
_2018-06-22T111456_sel.06.56.69.W_H_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\possible matches\steppy\	6/22/2018	111456	11:14:56 AM	3:14:56 PM									
_2018-06-22T111517_sel.01.17.01.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111517	11:15:17 AM	3:15:17 PM									
_2018-06-22T111517_sel.01.17.01.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	111517	11:15:17 AM	3:15:17 PM									
_2018-06-22T111629_sel.02.29.26.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111629	11:16:29 AM	3:16:29 PM									
_2018-06-22T111629_sel.02.29.26.W_266_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB266_Verified\	6/22/2018	111629	11:16:29 AM	3:16:29 PM									
_2018-06-22T111633_sel.03.33.93.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111633	11:16:33 AM	3:16:33 PM									
_2018-06-22T111633_sel.03.33.93.W_H_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\possible matches\steppy\	6/22/2018	111633	11:16:33 AM	3:16:33 PM									
_2018-06-22T111727_sel.05.27.33.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111727	11:17:27 AM	3:17:27 PM									
_2018-06-22T111727_sel.05.27.33.W_197_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	111727	11:17:27 AM	3:17:27 PM									
_2018-06-22T111805_sel.06.05.91.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111805	11:18:05 AM	3:18:05 PM									
_2018-06-22T111805_sel.06.05.91.W_H_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\possible matches\steppy\	6/22/2018	111805	11:18:05 AM	3:18:05 PM									
_2018-06-22T111840_sel.07.40.70.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111840	11:18:40 AM	3:18:40 PM									
_2018-06-22T111840_sel.07.40.70.W_197_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	111840	11:18:40 AM	3:18:40 PM									
_2018-06-22T111947_sel.10.47.98.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	111947	11:19:47 AM	3:19:47 PM									
_2018-06-22T111947_sel.10.47.98.W_MW_H_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Hill\	6/22/2018	111947	11:19:47 AM	3:19:47 PM									
_2018-06-22T112031_sel.01.31.79.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	112031	11:20:31 AM	3:20:31 PM									
_2018-06-22T112031_sel.01.31.79.W_197_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	112031	11:20:31 AM	3:20:31 PM									
_2018-06-22T112127_sel.02.27.77.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	112127	11:21:27 AM	3:21:27 PM									
_2018-06-22T112127_sel.02.27.77.W_197_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	112127	11:21:27 AM	3:21:27 PM									
_2018-06-22T112134_sel.03.34.59.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	112134	11:21:34 AM	3:21:34 PM									
_2018-06-22T112134_sel.03.34.59.W_H_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\no matches yet\	6/22/2018	112134	11:21:34 AM	3:21:34 PM									
_2018-06-22T112233_sel.06.33.45.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	112233	11:22:33 AM	3:22:33 PM									
_2018-06-22T112233_sel.06.33.45.W_197_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	112233	11:22:33 AM	3:22:33 PM									
_2018-06-22T113206_sel.01.06.27.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113206	11:32:06 AM	3:32:06 PM									
_2018-06-22T113206_sel.01.06.27.W_MW_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Revisit\	6/22/2018	113206	11:32:06 AM	3:32:06 PM									
_2018-06-22T113206_sel.01.06.27.W_MW_S_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Sin\	6/22/2018	113206	11:32:06 AM	3:32:06 PM									
_2018-06-22T113206_sel.01.06.27.W_MW_swoopedUP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Upsweep\	6/22/2018	113206	11:32:06 AM	3:32:06 PM									
_2018-06-22T113213_sel.02.13.67.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113213	11:32:13 AM	3:32:13 PM									
_2018-06-22T113213_sel.02.13.67.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	113213	11:32:13 AM	3:32:13 PM									
_2018-06-22T113215_sel.03.15.57.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113215	11:32:15 AM	3:32:15 PM									
_2018-06-22T113215_sel.03.15.57.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	113215	11:32:15 AM	3:32:15 PM									
_2018-06-22T113219_sel.04.19.29.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113219	11:32:19 AM	3:32:19 PM									
